year,state,property_damage
2021,Virginia,2.00K
2021,Wisconsin,20.00K
2021,Wisconsin,25.00K
2021,Wisconsin,12.00K
2021,South Dakota,75.00K
2021,Virginia,10.00K
2021,Virginia,15.00K
2021,Virginia,15.00K
2021,Virginia,15.00K
2021,Virginia,15.00K
2021,Virginia,15.00K
2021,Louisiana,5.00K
2021,Virginia,15.00K
2021,Oklahoma,75.00K
2021,Oklahoma,25.00K
2021,Oklahoma,1.00K
2021,Kansas,5.00K
2021,Kansas,12.00K
2021,Mississippi,1.00K
2021,Oklahoma,5.00K
2021,Arkansas,50.00K
2021,Arkansas,50.00K
2021,Arkansas,50.00K
2021,Pennsylvania,120.00K
2021,New Mexico,10.00K
2021,Mississippi,100.00K
2021,Florida,10.00K
2021,Tennessee,20.00K
2021,New Mexico,25.00K
2021,New Mexico,2.50K
2021,New Mexico,250.00K
2021,New Jersey,20.00K
2021,Connecticut,8.00K
2021,Nebraska,500.00K
2021,Tennessee,15.00K
2021,Pennsylvania,200.00K
2021,New Mexico,50.00K
2021,New Mexico,10.00K
2021,Michigan,2.00K
2021,Michigan,2.00K
2021,Michigan,3.00K
2021,Michigan,4.00K
2021,New York,5.00K
2021,Michigan,2.00K
2021,Arizona,30.00K
2021,New Mexico,10.00K
2021,Missouri,5.00K
2021,Mississippi,20.00K
2021,Indiana,20.00K
2021,Virginia,20.00K
2021,Virginia,20.00K
2021,Maryland,20.00K
2021,Maryland,15.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Maryland,15.00K
2021,Missouri,1.00K
2021,New Mexico,5.00K
2021,New Mexico,300.00K
2021,New Mexico,15.00K
2021,Illinois,2.00K
2021,Illinois,1.00K
2021,Tennessee,100.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Tennessee,15.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,30.00K
2021,Texas,1.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Virginia,20.00K
2021,Virginia,50.00K
2021,Virginia,40.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Washington,100.00K
2021,Tennessee,2.00M
2021,Texas,50.00K
2021,Texas,5.00K
2021,Texas,10.00K
2021,Texas,374.00K
2021,Idaho,25.00K
2021,Idaho,12.50K
2021,Idaho,10.00K
2021,District Of Columbia,2.00K
2021,District Of Columbia,6.00K
2021,Maryland,5.00K
2021,Maryland,22.00K
2021,Maryland,1.00K
2021,Maryland,1.00K
2021,Maryland,5.00K
2021,Maryland,2.00K
2021,Florida,5.00K
2021,Georgia,1.00K
2021,Gulf Of Mexico,15.00K
2021,Indiana,25.00K
2021,Virginia,1.00K
2021,Maryland,3.00K
2021,Louisiana,10.00K
2021,Ohio,5.00K
2021,Ohio,15.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,North Carolina,15.00K
2021,Virginia,20.00K
2021,Virginia,20.00K
2021,Kentucky,2.00K
2021,Kentucky,6.00K
2021,Oregon,5.00M
2021,Idaho,200.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Maryland,1.00K
2021,Alabama,1.00K
2021,North Carolina,2.50K
2021,Indiana,10.00K
2021,Ohio,1.00K
2021,Ohio,1.00K
2021,Ohio,10.00K
2021,Texas,2.00K
2021,California,3.00K
2021,Indiana,50.00K
2021,Florida,8.00K
2021,Louisiana,50.00K
2021,Oklahoma,30.00K
2021,Missouri,40.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Washington,100.00K
2021,Washington,1.00M
2021,Washington,1.00M
2021,American Samoa,20.00K
2021,Nebraska,2.00K
2021,Maryland,87.50K
2021,Maryland,1.00K
2021,Georgia,1.00K
2021,Indiana,10.00K
2021,Indiana,2.00K
2021,Indiana,15.00K
2021,New York,1.00K
2021,Connecticut,1.00K
2021,Texas,10.00K
2021,Florida,13.00K
2021,Florida,5.00K
2021,Florida,10.00K
2021,Missouri,75.00K
2021,Missouri,25.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Alabama,0.20K
2021,Texas,113.30K
2021,Texas,16.80M
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Alabama,1.00K
2021,Alabama,1.00K
2021,Indiana,2.00K
2021,Indiana,5.00K
2021,Indiana,4.00K
2021,Oklahoma,20.00K
2021,Oklahoma,25.00K
2021,Oklahoma,2.00K
2021,Florida,1.00K
2021,Florida,1.00M
2021,Kentucky,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Kentucky,1.00K
2021,South Carolina,0.01K
2021,Texas,1.00K
2021,West Virginia,15.00K
2021,Virginia,50.00K
2021,Virginia,30.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,40.00K
2021,Virginia,50.00K
2021,Texas,1.00K
2021,California,250.00K
2021,Connecticut,50.27K
2021,Vermont,10.00K
2021,Texas,1.80M
2021,Mississippi,18.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Indiana,50.00K
2021,Louisiana,5.00K
2021,Alabama,1.00K
2021,Georgia,75.00K
2021,Indiana,1.00K
2021,Indiana,4.00K
2021,Indiana,5.00K
2021,Texas,1.00K
2021,Oklahoma,2.00K
2021,Alaska,5000.00K
2021,New Jersey,1.00K
2021,New Jersey,3.00K
2021,Massachusetts,1.50K
2021,Massachusetts,4.00K
2021,Massachusetts,0.80K
2021,Massachusetts,0.80K
2021,Massachusetts,0.80K
2021,Massachusetts,2.00K
2021,West Virginia,15.00K
2021,West Virginia,10.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Texas,5.00K
2021,Kentucky,3.00K
2021,Kentucky,1.00K
2021,New York,60.00M
2021,New York,7.96M
2021,New York,3.23M
2021,New York,60.00M
2021,Mississippi,20.00K
2021,Mississippi,25.00K
2021,Louisiana,30.00K
2021,Virginia,3.00K
2021,Virginia,25.00K
2021,Virginia,8.00K
2021,Virginia,5.00K
2021,District Of Columbia,2.00K
2021,Louisiana,20.00K
2021,Louisiana,4.00K
2021,Georgia,2.00K
2021,Indiana,1.00K
2021,Indiana,2.00K
2021,Florida,2500.00K
2021,Guam,3.90M
2021,Kentucky,10.00K
2021,Oklahoma,20.00K
2021,North Carolina,100.00K
2021,North Carolina,100.00K
2021,West Virginia,5.00K
2021,Texas,4.00K
2021,Virginia,30.00K
2021,Connecticut,706.24K
2021,Mississippi,25.00K
2021,Mississippi,2.00K
2021,Texas,1.00M
2021,Texas,0.50K
2021,Texas,7.00K
2021,Texas,0.50K
2021,Connecticut,2.00K
2021,Connecticut,0.50K
2021,Connecticut,0.80K
2021,Connecticut,7.50K
2021,Texas,2.00K
2021,Alabama,10.00K
2021,Alabama,10.00K
2021,Alabama,2.00K
2021,Georgia,20.00K
2021,Georgia,20.00K
2021,Texas,1.00K
2021,Florida,15.00K
2021,Missouri,3.00K
2021,Missouri,18.00K
2021,Florida,10.00K
2021,Florida,500.00K
2021,Florida,200.00K
2021,North Carolina,100.00K
2021,North Carolina,100.00K
2021,Virginia,30.00K
2021,Ohio,10.00K
2021,Texas,5.00K
2021,New York,10.00M
2021,New York,92.60M
2021,Texas,443.00K
2021,Virginia,30.00K
2021,Mississippi,2.00K
2021,Mississippi,10.00K
2021,Oregon,10.00M
2021,Texas,3.70M
2021,Texas,70.00K
2021,Texas,7.80M
2021,Massachusetts,10.00K
2021,Massachusetts,60.00K
2021,Massachusetts,9.00K
2021,Massachusetts,0.50K
2021,Massachusetts,0.80K
2021,Florida,2.00K
2021,Alabama,100.00K
2021,Alabama,25.00K
2021,Alabama,1.00K
2021,Georgia,2.00K
2021,Georgia,1.00K
2021,Texas,0.20K
2021,Texas,0.50K
2021,California,12.00K
2021,New Mexico,50.00K
2021,Missouri,20.00K
2021,Missouri,15.00K
2021,Florida,75.00K
2021,Florida,10.00K
2021,Georgia,50.00K
2021,Alabama,0.40K
2021,Georgia,50.00K
2021,Georgia,50.00K
2021,Georgia,5.00K
2021,Georgia,2.00K
2021,Georgia,1.00K
2021,North Carolina,100.00K
2021,North Carolina,100.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Ohio,3.00K
2021,Ohio,3.00K
2021,Tennessee,2.00K
2021,Texas,4.00K
2021,Virginia,30.00K
2021,Oregon,100.00K
2021,Massachusetts,2.00K
2021,Massachusetts,10.00K
2021,Massachusetts,2.00K
2021,Rhode Island,1.00K
2021,Rhode Island,1.00K
2021,Rhode Island,1.00K
2021,Georgia,1.00K
2021,Georgia,1.00K
2021,Vermont,10.00K
2021,Illinois,25.00K
2021,Nevada,200.00K
2021,Georgia,25.00K
2021,Georgia,4.00M
2021,Georgia,1.80M
2021,Texas,10.00K
2021,Texas,10.00K
2021,Texas,10.00K
2021,Texas,1.00K
2021,Kansas,20.00K
2021,Kansas,0.50K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
